,volatile acidity,total sulfur dioxide,density,pH,alcohol,quality_category
162,0.53,31.0,0.9964,3.33,10.0,media
163,0.6,121.0,0.9982,3.37,9.4,baja
164,0.59,121.0,0.9981,3.37,9.4,baja
165,0.63,96.0,0.9961,3.19,9.5,baja
166,0.64,101.0,0.9956,3.34,10.2,baja
167,0.55,42.0,0.9956,3.37,9.0,baja
168,0.63,44.0,0.9953,3.47,10.4,media
169,0.705,63.0,0.9964,3.0,9.5,baja
170,0.885,8.0,0.9972,3.36,9.1,baja
171,0.42,18.0,0.9972,3.29,9.2,media
172,0.42,18.0,0.9972,3.29,9.2,media
173,0.62,42.0,0.9961,3.42,11.5,media
174,0.38,35.0,0.9961,3.33,9.5,baja
175,0.5,49.0,0.9958,3.35,9.5,baja
176,0.38,35.0,0.9961,3.33,9.5,baja
177,0.52,38.0,0.9972,3.58,10.5,media
178,0.805,20.0,0.9969,3.48,9.6,baja
179,0.61,42.0,0.9969,3.19,9.5,baja
180,0.61,42.0,0.9969,3.19,9.5,baja
181,0.61,110.0,0.9972,3.12,9.3,baja
182,0.73,42.0,0.9972,3.44,9.3,baja
183,0.61,65.0,0.9971,3.54,9.3,baja
184,0.62,62.0,0.997,3.52,9.3,media
185,0.31,85.0,0.9971,3.26,9.7,baja
186,0.39,67.0,0.9972,3.34,9.2,baja
187,0.705,26.0,0.9976,3.39,9.7,baja
188,0.5,143.0,0.9968,3.2,9.5,baja
189,0.49,144.0,0.9968,3.2,9.5,baja
190,0.5,127.0,0.9976,3.23,9.4,baja
191,0.37,49.0,0.9974,3.57,9.8,media
192,0.63,126.0,0.9969,3.28,9.5,baja
193,0.55,28.0,0.9964,3.28,9.7,baja
194,0.55,28.0,0.9964,3.28,9.7,baja
195,0.59,120.0,0.9968,3.25,9.4,baja
196,0.58,55.0,0.9968,3.46,10.2,baja
197,0.3,27.0,0.9981,3.11,10.1,media
198,0.835,93.0,0.9924,3.57,13.0,media
199,1.09,31.0,0.9948,3.51,11.4,baja
200,0.32,24.0,0.99695,3.22,10.3,media
201,0.37,145.0,0.9975,3.04,9.3,baja
202,0.5,49.0,0.99545,3.36,9.5,baja
203,0.42,39.0,0.9961,3.34,9.2,baja
204,0.43,37.0,0.99615,3.34,9.2,media
205,0.3,28.0,0.9994,3.2,10.8,media
206,0.3,28.0,0.9994,3.2,10.8,media
207,0.57,120.0,0.99625,3.29,9.3,baja
208,0.44,95.0,0.9966,3.22,9.4,baja
209,0.3,19.0,0.998,3.31,10.5,media
210,0.53,19.0,0.99585,3.3,12.4,media
211,0.725,62.0,0.99685,3.35,10.0,media
212,0.44,15.0,0.998,3.21,10.2,media
213,0.57,65.0,0.9959,3.3,10.1,baja
214,0.735,41.0,0.9974,3.24,9.8,media
215,0.49,121.0,0.9974,3.34,10.5,baja
216,0.625,49.0,0.9962,3.14,11.0,baja
217,0.725,41.0,0.9967,3.36,9.1,baja
218,0.49,44.0,0.9957,3.39,9.7,baja
219,0.53,144.0,0.99655,3.3,9.5,baja
220,0.34,58.0,0.9964,3.34,9.4,media
221,0.53,72.0,0.9957,3.15,9.4,baja
222,0.61,10.0,0.99525,3.42,9.5,baja
223,0.645,28.0,0.99815,3.28,10.0,media
224,0.635,55.0,0.99745,3.31,10.4,baja
225,0.43,63.0,0.99615,3.37,10.5,media
226,0.59,81.0,0.9964,3.04,9.5,media
227,0.82,23.0,0.9984,3.39,9.8,baja
228,0.43,63.0,0.99615,3.37,10.5,media
229,0.52,37.0,0.99685,3.46,11.0,baja
230,0.48,106.0,0.9927,3.54,12.2,media
231,0.38,49.0,0.99625,3.37,9.9,media
232,0.37,58.0,0.998,3.34,9.6,media
233,0.52,37.0,0.99685,3.46,11.0,baja
234,1.0,37.0,0.99685,3.32,9.0,media
235,0.63,38.0,0.99675,3.37,9.0,media
236,0.63,38.0,0.99675,3.37,9.0,media
237,0.645,39.0,0.99675,3.37,9.2,media
238,0.63,38.0,0.99675,3.37,9.0,media
239,1.0,37.0,0.99685,3.32,9.0,media
240,0.635,62.0,0.9971,3.0,9.3,baja
241,0.38,24.0,0.99925,3.14,10.9,media
242,0.58,109.0,0.99565,3.08,9.8,media
243,0.21,24.0,1.00005,3.07,9.2,media
244,0.21,24.0,1.00005,3.07,9.2,media
245,0.66,23.0,0.9983,3.61,9.9,media
246,0.68,51.0,0.99685,3.38,9.5,baja
247,0.6,73.0,0.9963,3.2,9.3,baja
248,0.53,39.0,0.99615,3.35,9.8,media
249,0.66,23.0,0.9983,3.61,9.9,media
250,0.32,37.0,0.9985,3.22,10.0,media
251,0.6,34.0,0.9972,3.47,9.9,media
252,0.35,21.0,0.9986,3.17,10.5,baja
253,0.775,86.0,0.9959,3.23,9.5,baja
254,0.6,34.0,0.9972,3.47,9.9,media
255,0.57,119.0,0.99675,3.26,9.3,baja
256,0.34,13.0,0.998,3.22,9.2,baja
257,0.695,56.0,0.9968,3.49,9.2,baja
258,0.41,45.0,0.9968,3.06,9.4,baja
259,0.31,33.0,0.99965,3.36,10.5,media
260,0.33,45.0,0.99625,3.29,9.3,baja
261,0.975,67.0,0.99565,3.35,9.4,baja
262,0.52,35.0,0.99575,3.34,10.0,baja
263,0.37,49.0,0.9963,3.28,9.3,baja
264,0.56,27.0,0.9999,3.08,10.9,baja
265,0.26,10.0,0.9968,3.2,10.2,media
266,0.87,61.0,1.00025,3.6,9.8,baja
267,0.35,37.0,0.9973,3.35,12.8,alta
268,0.54,27.0,0.9987,3.69,9.4,media
269,0.18,23.0,0.9996,3.28,10.1,media
270,0.545,61.0,0.9965,3.36,10.7,media
271,0.18,23.0,0.9996,3.28,10.1,media
272,0.37,65.0,0.99935,3.22,10.1,baja
273,0.715,38.0,0.99735,3.31,9.4,baja
274,0.65,94.0,0.99915,3.38,9.4,baja
275,0.545,61.0,0.9965,3.36,10.7,media
276,0.54,27.0,0.9987,3.69,9.4,media
277,0.18,23.0,0.9996,3.28,10.1,media
278,0.32,13.0,0.9976,3.23,12.6,alta
279,0.4,47.0,0.9991,3.38,10.5,media
280,0.26,19.0,0.9986,3.12,9.3,media
281,0.27,10.0,0.9972,3.25,9.9,media
282,0.52,53.0,0.9971,3.36,9.1,baja
283,0.4,47.0,0.9991,3.38,10.5,media
284,0.59,71.0,1.00015,3.31,9.8,baja
285,0.59,71.0,1.00015,3.31,9.8,baja
286,0.45,49.0,0.9997,3.1,10.3,media
287,0.4,53.0,0.9967,3.37,10.3,media
288,0.52,49.0,0.9976,3.34,10.6,media
289,0.42,98.0,1.001,3.2,9.2,baja
290,0.52,49.0,0.9976,3.34,10.6,media
291,0.2,18.0,0.9979,3.3,10.5,baja
292,0.55,48.0,0.9994,3.22,10.3,media
293,0.36,16.0,0.9964,3.41,10.1,media
294,0.34,53.0,1.0014,3.05,9.5,media
295,0.5,27.0,1.0001,3.05,9.5,baja
296,0.83,70.0,0.9981,3.16,9.9,baja
297,0.63,29.0,0.99855,3.67,9.6,baja
298,0.65,31.0,0.9993,3.67,9.7,baja
299,0.67,33.0,0.99845,3.68,9.6,baja
300,0.53,44.0,0.9965,3.38,10.7,media
301,0.18,15.0,0.9973,3.22,10.1,media
302,0.705,28.0,0.9994,3.51,10.0,baja
303,0.67,21.0,0.996,3.39,9.5,baja
304,0.65,90.0,0.9973,3.2,9.2,baja
305,0.53,25.0,0.9998,3.12,9.3,media
306,0.62,54.0,0.9966,3.36,9.4,baja
307,0.41,14.0,0.9994,3.19,9.5,media
308,0.43,12.0,0.9994,3.19,9.5,media
309,0.29,30.0,0.9968,3.41,9.5,media
310,0.53,25.0,0.9998,3.12,9.3,media
311,0.53,105.0,0.996,3.27,9.4,media
312,0.46,98.0,0.99815,3.32,9.5,media
313,0.47,135.0,0.9976,3.3,9.4,baja
314,0.36,72.0,0.99645,3.39,11.0,baja
315,0.35,53.0,0.9962,3.42,11.0,media
316,0.56,92.0,0.9996,3.3,10.1,baja
317,0.77,74.0,0.99865,3.3,10.4,media
318,0.66,59.0,0.9989,3.37,11.5,media
319,0.77,74.0,0.99865,3.3,10.4,media
320,0.66,59.0,0.9989,3.37,11.5,media
321,0.61,87.0,0.99975,3.24,9.7,baja
322,0.62,18.0,0.99735,3.29,9.3,baja
323,0.59,73.0,0.999,3.28,9.5,media
324,0.49,50.0,1.0015,3.16,9.2,media
325,0.49,50.0,1.0015,3.16,9.2,media
326,0.53,14.0,0.9978,3.05,11.5,media
327,0.44,13.0,0.998,3.28,11.5,baja
328,0.27,21.0,1.0002,3.16,9.7,media
329,0.46,15.0,0.9981,3.18,9.5,baja
330,0.36,41.0,0.998,3.23,12.5,media
331,0.36,41.0,0.998,3.23,12.5,media
332,0.58,114.0,0.9973,3.22,9.4,media
333,0.56,44.0,0.9958,3.13,11.0,baja
334,0.65,38.0,0.9963,3.34,11.7,media
335,0.695,21.0,0.9992,3.17,12.2,media
336,0.43,16.0,0.9948,3.35,12.5,media
337,0.43,58.0,0.9974,3.31,10.3,baja
338,0.49,99.0,1.0008,3.16,11.5,media
339,0.28,29.0,0.9997,3.11,9.8,media
340,0.34,21.0,1.0,3.12,9.2,media
341,0.42,18.0,0.9972,3.21,11.3,media
342,0.39,14.0,0.9982,3.3,9.8,media
343,0.39,14.0,0.9982,3.3,9.8,media
344,0.57,32.0,1.0006,3.12,10.7,media
345,0.685,63.0,0.9979,3.6,9.9,baja
346,0.815,34.0,0.9955,3.58,12.3,media
347,0.49,15.0,0.9986,3.02,12.0,media
348,0.56,46.0,0.9979,3.11,10.0,media
349,0.785,28.0,0.9994,3.36,9.4,media
350,0.67,34.0,1.0004,3.28,9.9,media
351,0.795,26.0,0.9994,3.35,9.4,media
352,0.665,19.0,0.9974,3.27,9.3,baja
353,0.53,77.0,1.0018,3.18,13.0,baja
354,0.21,165.0,0.9912,3.25,11.9,media
355,0.75,32.0,0.9955,3.55,12.8,media
356,0.41,55.0,1.0001,3.26,11.0,baja
357,0.42,29.0,0.997,3.24,11.7,media
358,0.43,23.0,1.0,3.15,10.4,media
359,0.38,41.0,1.001,3.17,9.8,media
360,0.7,81.0,0.9973,3.19,9.4,baja
361,0.45,50.0,0.9982,3.37,9.9,media
362,0.58,37.0,0.9992,3.05,10.0,baja
363,0.46,15.0,0.9988,2.99,10.2,baja
364,0.615,42.0,1.0022,3.07,10.0,media
365,0.42,21.0,0.9979,3.26,11.8,media
366,0.615,42.0,1.0022,3.07,10.0,media
367,0.575,24.0,1.0,3.16,9.0,baja
368,0.34,75.0,0.9998,3.18,9.4,baja
369,0.27,18.0,0.9962,3.2,12.0,media
370,0.765,63.0,0.9975,3.57,9.9,baja
371,0.24,25.0,0.9967,3.32,8.7,media
372,0.28,46.0,0.9967,3.32,10.6,media
373,0.55,72.0,0.9959,3.05,9.2,baja
374,0.41,47.0,1.0014,3.01,10.8,media
375,0.54,15.0,0.9984,3.01,11.8,media
376,0.45,47.0,1.0003,3.26,11.0,media
377,0.27,18.0,0.9962,3.2,12.0,media
378,0.625,24.0,0.9988,3.11,13.3,media
379,0.42,60.0,0.9979,3.31,10.8,media
380,0.26,27.0,0.9974,3.21,9.4,media
381,0.415,43.0,1.0014,3.06,10.0,media
382,0.26,27.0,0.9974,3.21,9.4,media
383,0.26,27.0,0.9974,3.21,9.4,media
384,0.51,54.0,0.998,3.42,9.2,baja
385,0.63,37.0,0.9979,3.43,9.7,media
386,0.54,48.0,0.9981,3.41,9.2,media
387,0.66,42.0,0.9972,3.31,9.6,media
388,0.46,53.0,0.9981,3.43,9.2,media
389,0.38,49.0,0.9982,3.19,10.0,media
390,0.85,88.0,0.9924,3.56,12.9,alta
391,0.415,43.0,1.0014,3.06,10.0,media
392,0.37,26.0,0.998,3.18,9.5,baja
393,0.665,95.0,0.997,3.16,9.1,baja
394,0.6,25.0,0.9997,3.03,9.9,baja
395,0.37,38.0,1.0004,3.22,13.0,media
396,0.735,124.0,0.9994,3.47,9.9,baja
397,0.59,49.0,0.9988,3.18,11.0,media
398,0.59,49.0,0.9988,3.18,11.0,media
399,0.765,42.0,0.9963,3.1,9.4,baja
400,0.735,124.0,0.9994,3.47,9.9,baja
401,0.26,38.0,0.9949,3.29,10.8,media
402,0.48,64.0,1.0,3.1,10.5,media
403,0.6,41.0,0.9994,3.15,10.5,media
404,0.69,27.0,0.9974,3.26,9.1,baja
405,0.31,25.0,0.9966,3.36,10.1,media
406,0.44,28.0,0.9981,3.24,10.8,media
407,0.39,30.0,0.9996,3.18,10.8,media
408,0.34,16.0,0.997,3.19,11.3,media
409,0.46,49.0,0.9981,3.05,9.6,baja
410,0.43,86.0,0.9987,3.38,9.5,media
411,0.45,78.0,0.9987,3.38,9.5,baja
412,0.735,77.0,0.9966,3.27,9.3,baja
413,0.4,19.0,0.9986,3.27,11.7,media
414,0.52,122.0,0.9982,3.26,9.5,baja
415,0.725,134.0,1.0014,3.32,9.3,baja
416,0.48,20.0,0.997,3.26,11.7,media
417,0.58,124.0,0.9956,3.44,10.5,baja
418,0.38,20.0,0.9996,3.24,10.4,media
419,0.77,52.0,0.9976,3.62,9.9,baja
420,0.56,67.0,0.9972,3.28,11.8,media
421,0.84,48.0,0.9952,3.52,12.3,media
422,0.96,60.0,0.9955,3.36,10.9,baja
423,0.24,24.0,0.9978,3.15,11.0,media
424,0.96,60.0,0.9955,3.36,10.9,baja
425,0.84,48.0,0.9952,3.52,12.3,media
426,0.67,48.0,0.9949,3.49,11.4,media
427,0.78,32.0,0.9988,3.26,10.6,media
428,0.52,30.0,0.9978,3.24,9.3,baja
429,0.84,35.0,0.9997,3.1,10.4,media
430,0.24,24.0,0.9978,3.15,11.0,media
431,0.55,66.0,0.9974,3.25,9.2,baja
432,0.37,24.0,0.9958,3.0,12.8,media
433,0.39,18.0,1.0004,3.16,9.5,baja
434,0.41,54.0,0.9996,3.15,9.9,media
435,0.39,18.0,1.0004,3.16,9.5,baja
436,0.67,62.0,0.9958,3.26,10.2,media
437,0.45,22.0,0.9986,3.17,11.2,media
438,0.41,54.0,0.9996,3.15,9.9,media
439,0.62,50.0,0.9951,3.08,9.3,baja
440,0.31,29.0,0.9987,2.88,9.8,alta
441,0.4,27.0,0.9988,3.06,11.3,media
442,0.685,43.0,1.0032,2.95,11.2,media
443,0.44,19.0,0.9963,3.23,11.6,media
444,0.57,27.0,0.9934,3.57,12.5,media
445,0.735,31.0,0.9986,3.23,10.1,media
446,0.38,72.0,0.9996,3.1,10.5,baja
447,0.48,16.0,0.9968,3.22,11.2,baja
448,0.53,27.0,0.9967,3.2,10.2,media
449,0.39,35.0,0.9994,3.1,10.8,media
450,0.39,35.0,0.9994,3.1,10.8,media
451,0.37,26.0,0.9979,3.06,9.1,media
452,0.56,35.0,0.9968,3.44,10.0,media
453,0.33,22.0,0.9998,3.26,11.2,media
454,0.23,67.0,0.9952,3.5,11.1,baja
455,0.62,19.0,0.9988,3.22,13.4,alta
456,0.59,22.0,0.9986,3.37,10.3,baja
457,0.63,65.0,0.9988,3.28,9.6,baja
458,0.33,22.0,0.9998,3.26,11.2,media
459,0.58,47.0,1.0008,3.25,9.0,baja
460,0.43,23.0,0.9976,3.35,11.3,media
461,0.615,19.0,0.9982,3.26,9.3,baja
462,0.26,25.0,0.997,3.18,11.8,baja
463,0.66,129.0,0.9972,3.08,9.0,baja
464,0.315,15.0,0.9987,2.98,9.2,media
465,0.29,26.0,1.0006,3.48,9.7,baja
466,0.5,51.0,0.9982,3.16,11.5,media
467,0.46,18.0,0.9947,3.32,14.0,media
468,0.36,21.0,1.0,3.17,9.2,media
469,0.82,48.0,0.9952,3.2,9.8,baja
470,0.32,47.0,0.9996,3.05,10.6,baja
471,0.54,52.0,0.997,3.2,11.4,media
472,0.37,68.0,0.9995,3.15,10.4,media
473,0.35,14.0,0.9971,3.26,10.6,baja
474,0.28,24.0,0.9982,3.2,9.4,media
475,0.68,28.0,0.9988,3.14,10.2,baja
476,0.27,16.0,0.998,3.28,9.7,baja
477,0.24,20.0,0.9977,3.18,11.0,media
478,0.68,28.0,0.9988,3.14,10.2,baja
479,0.685,31.0,0.9984,3.19,10.1,media
480,0.28,23.0,1.0026,3.12,9.2,baja
481,0.3,17.0,0.9964,3.15,11.7,alta
482,0.36,18.0,0.9986,3.04,9.4,baja
483,0.36,18.0,0.9986,3.04,9.4,baja
484,0.44,24.0,0.997,3.06,13.4,media
485,0.67,17.0,0.9976,3.17,10.0,baja
486,0.67,17.0,0.9976,3.17,10.0,baja
487,0.645,14.0,0.9982,3.17,10.0,media
488,0.32,67.0,1.0002,3.32,10.8,media
489,0.39,26.0,0.9984,3.34,10.2,media
490,0.775,56.0,0.9984,3.31,10.6,media
491,0.41,25.0,0.9952,3.34,13.3,media
492,0.4,27.0,0.995,3.32,13.4,media
493,0.69,81.0,1.0002,3.48,11.6,media
494,0.39,91.0,0.9952,3.44,12.1,media
495,0.35,16.0,0.9972,3.15,11.0,alta
496,0.52,38.0,0.9984,3.43,9.0,media
497,0.34,113.0,0.9966,3.32,11.1,baja
498,0.35,16.0,0.9972,3.15,11.0,alta
499,0.69,81.0,1.0002,3.48,11.6,media
500,0.52,38.0,0.9984,3.43,9.0,media
501,0.44,76.0,0.999,3.17,12.0,media
502,0.44,76.0,0.999,3.17,12.0,media
503,0.26,24.0,0.9976,3.18,10.9,media
504,0.24,22.0,0.9976,3.21,10.8,media
505,0.49,26.0,0.9968,3.16,12.5,media
506,0.24,21.0,0.9976,3.25,10.8,media
507,0.67,13.0,1.0,3.17,9.5,media
508,0.59,62.0,0.9994,3.18,10.2,media
509,0.29,43.0,0.9986,3.04,11.4,media
510,0.42,43.0,0.9978,3.02,9.5,baja
511,0.59,62.0,0.9994,3.18,10.2,media
512,0.4,49.0,0.998,3.03,9.7,media
513,0.51,15.0,0.9973,3.09,11.8,media
514,0.51,15.0,0.9973,3.09,11.8,media
515,0.655,151.0,1.001,3.31,9.3,baja
516,0.6,14.0,1.001,3.25,11.9,media
517,0.61,16.0,0.9994,3.16,8.4,baja
518,0.21,32.0,0.9972,3.22,11.7,media
519,0.365,106.0,0.9966,3.36,11.0,baja
520,0.25,33.0,0.9982,3.42,10.0,media
521,0.41,43.0,0.998,3.48,9.1,baja
522,0.39,133.0,0.9979,3.38,9.8,baja
523,0.4,142.0,0.9978,3.22,9.4,baja
524,0.43,116.0,0.9976,3.23,9.5,baja
525,0.64,53.0,0.9998,3.24,9.9,baja
526,0.365,106.0,0.9966,3.36,11.0,baja
527,0.38,85.0,0.9962,3.39,11.4,media
528,0.42,55.0,0.9988,3.34,8.7,media
529,0.63,33.0,0.9974,3.09,9.4,baja
530,0.22,28.0,0.999,3.41,10.3,media
531,0.38,42.0,1.0004,3.16,10.3,baja
532,0.38,42.0,1.0004,3.16,10.3,baja
533,0.27,33.0,0.9956,3.22,12.8,media
534,0.48,32.0,1.0,3.28,10.0,media
535,0.22,28.0,0.999,3.41,10.3,media
536,0.63,33.0,0.9974,3.09,9.4,baja
537,0.825,13.0,0.9972,3.37,10.7,media
538,0.35,35.0,1.0014,3.2,12.0,media
539,0.5,17.0,0.9996,3.22,11.2,baja
540,0.59,47.0,0.9988,3.26,9.6,baja
541,0.46,17.0,0.9988,3.21,11.0,media
542,0.715,20.0,0.9966,3.12,9.9,baja
543,0.66,53.0,0.9993,3.06,11.0,media
544,0.31,15.0,1.0008,2.86,8.4,media
545,0.47,106.0,0.9982,3.08,9.1,baja
546,0.55,28.0,0.9983,3.45,9.5,media
547,0.31,21.0,0.9987,3.26,10.7,media
